date,INTL_MSCIJP
2009-05-15,3743.799
2009-05-22,3739.223
2009-05-29,3803.645
2009-06-05,3777.756
2009-06-12,3903.038
2009-06-19,3825.439
2009-06-26,3903.675
2009-07-03,3849.379
2009-07-10,3792.164
2009-07-17,3755.184
2009-07-24,3912.407
2009-07-31,4036.273
2009-08-07,3972.776
2009-08-14,4160.614
2009-08-21,4036.854
2009-08-28,4179.514
2009-09-04,4057.907
2009-09-11,4232.03
2009-09-18,4158.191
2009-09-25,4169.0
2009-10-02,3978.705
2009-10-09,4085.368
2009-10-16,4040.289
2009-10-23,3994.071
2009-10-30,4021.404
2009-11-06,3955.944
2009-11-13,3942.944
2009-11-20,3847.6
2009-11-27,3815.538
2009-12-04,4050.171
2009-12-11,4066.304
2009-12-18,4033.349
2009-12-25,4070.113
2010-01-01,4011.056
2010-01-08,4167.168
2010-01-15,4385.271
2010-01-22,4300.394
2010-01-29,4087.202
2010-02-05,4100.332
2010-02-12,4077.227
2010-02-19,3972.616
2010-02-26,4133.048
2010-03-05,4131.621
2010-03-12,4244.477
2010-03-19,4310.816
2010-03-26,4295.392
2010-04-02,4368.977
2010-04-09,4381.479
2010-04-16,4431.327
2010-04-23,4277.87
2010-04-30,4335.305
2010-05-07,4226.851
2010-05-14,4195.203
2010-05-21,4035.917
2010-05-28,3986.881
2010-06-04,3991.382
2010-06-11,3890.292
2010-06-18,4004.073
2010-06-25,3989.73
2010-07-02,3888.468
2010-07-09,4002.542
2010-07-16,4004.762
2010-07-23,3971.22
2010-07-30,4044.011
2010-08-06,4176.619
2010-08-13,3973.914
2010-08-20,3996.897
2010-08-27,3976.916
2010-09-03,4031.851
2010-09-10,4085.16
2010-09-17,4103.856
2010-09-24,4117.47
2010-10-01,4153.584
2010-10-08,4284.687
2010-10-15,4257.563
2010-10-22,4243.351
2010-10-29,4219.316
2010-11-05,4308.652
2010-11-12,4314.347
2010-11-19,4373.212
2010-11-26,4324.462
2010-12-03,4462.986
2010-12-10,4428.258
2010-12-17,4483.069
2010-12-24,4550.154
2010-12-31,4636.532
2011-01-07,4672.851
2011-01-14,4697.59
2011-01-21,4607.987
2011-01-28,4672.134
2011-02-04,4768.293
2011-02-11,4745.639
2011-02-18,4887.233
2011-02-25,4822.108
2011-03-04,4852.376
2011-03-11,4681.642
2011-03-18,4284.659
2011-03-25,4409.778
2011-04-01,4307.202
2011-04-08,4239.239
2011-04-15,4261.234
2011-04-22,4346.144
2011-04-29,4427.617
2011-05-06,4476.315
2011-05-13,4390.126
2011-05-20,4278.122
2011-05-27,4298.259
2011-06-03,4273.956
2011-06-10,4290.39
2011-06-17,4232.733
2011-06-24,4353.888
2011-07-01,4438.073
2011-07-08,4559.84
2011-07-15,4562.545
2011-07-22,4656.813
2011-07-29,4576.233
2011-08-05,4284.422
2011-08-12,4182.371
2011-08-19,4116.271
2011-08-26,4105.299
2011-09-02,4183.677
2011-09-09,4049.301
2011-09-16,4161.321
2011-09-23,4069.586
2011-09-30,4137.917
2011-10-07,4051.92
2011-10-14,4068.031
2011-10-21,4107.961
2011-10-28,4293.857
2011-11-04,4049.725
2011-11-11,3979.872
2011-11-18,3934.577
2011-11-25,3820.71
2011-12-02,4021.099
2011-12-09,3995.256
2011-12-16,3909.546
2011-12-23,3885.831
2011-12-30,3978.698
2012-01-06,3973.333
2012-01-13,4006.525
2012-01-20,4118.247
2012-01-27,4167.47
2012-02-03,4170.837
2012-02-10,4220.75
2012-02-17,4312.582
2012-02-24,4366.553
2012-03-02,4343.018
2012-03-09,4353.075
2012-03-16,4406.121
2012-03-23,4375.364
2012-03-30,4430.212
2012-04-06,4279.944
2012-04-13,4295.157
2012-04-20,4238.121
2012-04-27,4256.492
2012-05-04,4217.741
2012-05-11,4040.245
2012-05-18,3898.387
2012-05-25,3862.701
2012-06-01,3864.11
2012-06-08,3835.551
2012-06-15,3929.437
2012-06-22,3968.644
2012-06-29,4107.103
2012-07-06,4130.207
2012-07-13,4000.652
2012-07-20,3973.587
2012-07-27,3928.729
2012-08-03,3922.414
2012-08-10,4069.141
2012-08-17,4103.769
2012-08-24,4102.242
2012-08-31,3980.037
2012-09-07,4024.171
2012-09-14,4129.506
2012-09-21,4130.829
2012-09-28,4075.554
2012-10-05,4034.062
2012-10-12,3949.135
2012-10-19,4097.386
2012-10-26,4009.773
2012-11-02,4016.637
2012-11-09,3959.239
2012-11-16,3989.514
2012-11-23,4070.914
2012-11-30,4094.192
2012-12-07,4138.731
2012-12-14,4144.913
2012-12-21,4281.792
2012-12-28,4330.001
2013-01-04,4381.278
2013-01-11,4377.395
2013-01-18,4400.356
2013-01-25,4371.795
2013-02-01,4415.71
2013-02-08,4485.211
2013-02-15,4374.739
2013-02-22,4488.33
2013-03-01,4571.503
2013-03-08,4608.317
2013-03-15,4807.716
2013-03-22,4769.743
2013-03-29,4816.015
2013-04-05,4811.855
2013-04-12,5124.711
2013-04-19,4984.322
2013-04-26,5210.278
2013-05-03,5096.163
2013-05-10,5208.788
2013-05-17,5354.658
2013-05-24,5195.375
2013-05-31,4942.007
2013-06-07,4784.584
2013-06-14,4918.362
2013-06-21,4960.955
2013-06-28,5028.74
2013-07-05,5185.763
2013-07-12,5321.978
2013-07-19,5321.21
2013-07-26,5232.596
2013-08-02,5331.623
2013-08-09,5208.031
2013-08-16,5144.605
2013-08-23,5084.74
2013-08-30,4950.326
2013-09-06,5100.45
2013-09-13,5232.874
2013-09-20,5364.573
2013-09-27,5470.611
2013-10-04,5288.579
2013-10-11,5369.222
2013-10-18,5438.147
2013-10-25,5329.36
2013-11-01,5284.039
2013-11-08,5234.223
2013-11-15,5458.495
2013-11-22,5453.775
2013-11-29,5446.443
2013-12-06,5324.365
2013-12-13,5314.717
2013-12-20,5374.465
2013-12-27,5447.533
2014-01-03,5523.636
2014-01-10,5511.292
2014-01-17,5491.338
2014-01-24,5453.502
2014-01-31,5278.733
2014-02-07,5139.533
2014-02-14,5132.866
2014-02-21,5261.482
2014-02-28,5250.681
2014-03-07,5292.642
2014-03-14,5064.336
2014-03-21,4939.189
2014-03-28,5120.782
2014-04-04,5221.779
2014-04-11,4961.318
2014-04-18,5101.987
2014-04-25,5092.884
2014-05-02,5138.24
2014-05-09,5096.361
2014-05-16,5091.202
2014-05-23,5166.369
2014-05-30,5261.521
2014-06-06,5360.748
2014-06-13,5422.776
2014-06-20,5530.987
2014-06-27,5500.514
2014-07-04,5595.716
2014-07-11,5503.526
2014-07-18,5536.913
2014-07-25,5585.23
2014-08-01,5556.564
2014-08-08,5350.002
2014-08-15,5504.633
2014-08-22,5478.267
2014-08-29,5448.806
2014-09-05,5467.956
2014-09-12,5436.862
2014-09-19,5437.153
2014-09-26,5462.753
2014-10-03,5231.977
2014-10-10,5169.429
2014-10-17,4948.316
2014-10-24,5149.564
2014-10-31,5345.581
2014-11-07,5344.197
2014-11-14,5425.0
2014-11-21,5376.733
2014-11-28,5362.192
2014-12-05,5375.044
2014-12-12,5322.263
2014-12-19,5318.01
2014-12-26,5345.264
2015-01-02,5272.577
2015-01-09,5230.625
2015-01-16,5222.173
2015-01-23,5366.835
2015-01-30,5409.709
2015-02-06,5357.486
2015-02-13,5496.348
2015-02-20,5682.865
2015-02-27,5738.252
2015-03-06,5729.938
2015-03-13,5793.571
2015-03-20,5919.799
2015-03-27,5921.832
2015-04-03,5919.062
2015-04-10,5990.222
2015-04-17,6047.857
2015-04-24,6178.385
2015-05-01,5995.187
2015-05-08,6014.3
2015-05-15,6106.191
2015-05-22,6148.601
2015-05-29,6119.129
2015-06-05,6006.884
2015-06-12,6059.557
2015-06-19,5999.525
2015-06-26,6078.919
2015-07-03,6074.893
2015-07-10,5830.675
2015-07-17,6060.868
2015-07-24,6037.328
2015-07-31,6043.473
2015-08-07,6086.836
2015-08-14,6019.222
2015-08-21,5777.265
2015-08-28,5761.137
2015-09-04,5446.524
2015-09-11,5511.828
2015-09-18,5475.52
2015-09-25,5401.717
2015-10-02,5471.09
2015-10-09,5699.768
2015-10-16,5714.604
2015-10-23,5781.641
2015-10-30,5847.609
2015-11-06,5750.889
2015-11-13,5846.004
2015-11-20,5907.721
2015-11-27,5873.404
2015-12-04,5771.76
2015-12-11,5787.401
2015-12-18,5710.997
2015-12-25,5699.364
2016-01-01,5809.488
2016-01-08,5543.795
2016-01-15,5410.881
2016-01-22,5238.487
2016-01-29,5331.668
2016-02-05,5276.024
2016-02-12,4781.696
2016-02-19,5173.779
