date,EQ_SLOPE_BP
2025-11-07,53.49999999999997
2025-11-14,54.25
2025-11-21,55.580000000000005
2025-11-28,52.39000000000003
2025-12-05,57.48000000000006
2025-12-12,66.18999999999997
2025-12-19,66.36999999999999
2025-12-26,64.86999999999998
2026-01-02,71.73999999999995
2026-01-09,63.32000000000004
2026-01-16,63.690000000000026
2026-01-23,63.12000000000002
2026-01-30,71.30999999999999
2026-02-06,70.84000000000006
2026-02-13,64.07000000000002
2026-02-20,60.450000000000024
2026-02-27,56.26000000000002
2026-03-06,57.77999999999999
2026-03-13,55.980000000000004
2026-03-20,47.94999999999998
2026-03-27,51.590000000000025
2026-04-03,50.110000000000014
2026-04-10,52.18000000000003
2026-04-17,53.980000000000004
2026-04-24,52.239999999999974
2026-05-01,49.229999999999976
2026-05-08,46.95
2026-05-15,52.47000000000001
2026-05-22,43.679999999999986
2026-05-29,43.14
2026-06-05,38.33000000000002
